Category,Item,Price
Tea & Coffee,Darjeeling tea,
Tea & Coffee,,₹
Tea & Coffee,110,
Tea & Coffee,Masala chai,
Tea & Coffee,,₹
Tea & Coffee,120,
Tea & Coffee,Chamomile/Green tea,
Tea & Coffee,,₹
Tea & Coffee,120,
Tea & Coffee,Espresso,
Tea & Coffee,,₹
Tea & Coffee,120,
Tea & Coffee,American,
Tea & Coffee,o,
Tea & Coffee,,₹
Tea & Coffee,120,
Tea & Coffee,Latte,
Tea & Coffee,,₹
Tea & Coffee,1,
Tea & Coffee,6,
Tea & Coffee,0,
Tea & Coffee,Cappuccino,
Tea & Coffee,,₹
Tea & Coffee,200,
Tea & Coffee,Cold,
Tea & Coffee,coffee/ice cream,
Tea & Coffee,,₹
Tea & Coffee,18,
Tea & Coffee,0,
Tea & Coffee,/,
Tea & Coffee,,₹
Tea & Coffee,200,
Tea & Coffee,Affogato,
Tea & Coffee,,₹
Tea & Coffee,200,
Tea & Coffee,Chocolate milk shake,
Tea & Coffee,,₹
Tea & Coffee,200,
,Darjeeling tea,
,,₹
,110,
,Masala chai,
,,₹
,120,
,Chamomile/Green tea,
,,₹
,120,
,Espresso,
,,₹
,120,
,American,
,o,
,,₹
,120,
,Latte,
,,₹
,1,
,6,
,0,
,Cappuccino,
,,₹
,200,
,Cold,
,coffee/ice cream,
,,₹
,18,
,0,
,/,
,,₹
,200,
,Affogato,
,,₹
,200,
,Chocolate milk shake,
,,₹
,200,
Cakes,Orange upside down,
Cakes,,₹
Cakes,180,
Cakes,Banana walnut slice,
Cakes,,₹
Cakes,200,
Cakes,Baked cheese cake,
Cakes,,₹
Cakes,260,
Cakes,Blueberry cheese cake,
Cakes,,₹
Cakes,2,
Cakes,80,
Cakes,Aurantius chocolate mousse,
Cakes,,₹
Cakes,2,
Cakes,80,
Cakes,Chocolate truffle,
Cakes,,₹
Cakes,26,
Cakes,0,
Cakes,Chocolate mousse cake,
Cakes,,₹
Cakes,26,
Cakes,0,
Cakes,Cookies (orange/cranberry/choco chip),
Cakes,,₹
Cakes,45 each,
Quenchers,"Fresh burst - Watermelon, litchi, ginger & mint",
Quenchers,,₹
Quenchers,22,
Quenchers,0,
Quenchers,"Green Bouquet - Kiwi, greenapple & mint",
Quenchers,,₹
Quenchers,24,
Quenchers,0,
